,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.219360815,,,,,,,,,,1.219360815,,,,,,,,,,1.219360815,,,,,,,,,
LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.49866585,,,,,,,,,,37.49866585,,,,,,,,,,37.49866585,,,,,,,,,
MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.748541989,,,,,,,,,,0.748541989,,,,,,,,,,0.748541989,,,,,,,,,
MWI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.327918026,,,,,,,,,,1.327918026,,,,,,,,,,1.327918026,,,,,,,,,
MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.50767853,,,,,,,,,,45.50767853,,,,,,,,,,45.50767853,,,,,,,,,
MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,
MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.734736378,,,,,,,,,,2.734736378,,,,,,,,,,2.734736378,,,,,,,,,
MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.81798241,,,,,,,,,,43.81798241,,,,,,,,,,43.81798241,,,,,,,,,
MTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.084070035,,,,,,,,,,1.084070035,,,,,,,,,,1.084070035,,,,,,,,,
MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.311377474,,,,,,,,,,1.311377474,,,,,,,,,,1.311377474,,,,,,,,,
MYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.16731636,,,,,,,,,,2.16731636,,,,,,,,,,2.16731636,,,,,,,,,
FSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.165460626,,,,,,,,,,7.165460626,,,,,,,,,,7.165460626,,,,,,,,,
MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.020387316,,,,,,,,,,1.020387316,,,,,,,,,,1.020387316,,,,,,,,,
MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.25812405,,,,,,,,,,25.25812405,,,,,,,,,,25.25812405,,,,,,,,,
