,year,country,Net migration,tas,pr,Arable land (%25 of land area),Population growth (annual %25),"Population, total"
135,1990-01-01,BGD,-813794.0,24.9514614,203.421378,68.16317123761236,2.259252979735708,107968621.8
136,1995-01-01,BGD,-719899.0,25.334938400000002,208.76985799999997,64.59399247138359,2.0953212954949683,120170578.4
137,2000-01-01,BGD,-1492537.0,25.2636218,214.54717399999998,63.4201428900668,1.801041778445056,132400535.4
138,2005-01-01,BGD,-3254778.0,25.6592802,207.549238,60.23815011139279,1.264190310719438,142569202.4
139,2010-01-01,BGD,-2306839.0,25.461584333333334,203.24081999999999,59.25328416685869,1.1413379167289601,149285671.66666666
140,1960-01-01,BRB,-17960.0,25.998333600000002,163.78417,37.2093023255814,0.3599329810948506,232709.4
141,1965-01-01,BRB,-13677.0,25.845833000000006,188.318334,37.2093023255814,0.28518643539627303,236671.2
142,1970-01-01,BRB,-6934.0,26.038333,150.11499999999998,37.2093023255814,0.5544502487766015,241643.6
143,1975-01-01,BRB,-5548.0,26.1616666,156.310002,37.2093023255814,0.5409255208736263,248845.6
144,1980-01-01,BRB,-7856.0,26.1250002,176.929164,37.2093023255814,0.32720598490333397,254011.8
145,1985-01-01,BRB,-6311.0,26.2141666,182.73333199999996,37.2093023255814,0.3461112966149776,258064.6
146,1990-01-01,BRB,-5393.0,26.5016658,175.522494,37.2093023255814,0.376194762804271,262898.8
147,1995-01-01,BRB,-3643.0,26.622500600000002,184.084162,36.74418604651164,0.41529929977843905,268195.6
148,2000-01-01,BRB,-3188.0,26.6550006,194.80083399999998,33.0232558139535,0.35424712383225565,273410.6
149,2005-01-01,BRB,-249.0,26.8041668,195.748336,30.2325581395349,0.4184283115870048,278710.0
150,1990-01-01,BLR,-63057.0,7.30807082,50.3945662,30.25866035627423,0.11178143526814062,10213000.0
151,1995-01-01,BLR,56146.0,6.92881276,50.9330476,30.5718793137448,-0.3955191414790244,10113347.6
152,2000-01-01,BLR,-6382.0,7.495399699999998,48.46116500000001,28.227541033934937,-0.600528470516811,9860120.4
153,2005-01-01,BLR,63933.0,7.67400682,52.92301339999999,27.269688913542485,-0.46450501562159896,9572908.4
154,2010-01-01,BLR,72123.0,7.471989533333333,55.91256933333333,27.247339205362035,-0.1485407222977246,9476083.333333334
